2024-06-27 10:02:47 - HV000001: Hibernate Validator 8.0.1.Final
2024-06-27 10:02:47 - Starting SpringThymeleafApplication using Java 17.0.7 with PID 10760 (C:\Users\fernando.correa\Documents\GitHub\workspace2023\app-devceasa01.2003\target\classes started by fernando.correa in C:\Users\fernando.correa\Documents\GitHub\workspace2023\app-devceasa01.2003)
2024-06-27 10:02:47 - No active profile set, falling back to 1 default profile: "default"
2024-06-27 10:02:47 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-27 10:02:47 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-27 10:02:48 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-27 10:02:48 - Finished Spring Data repository scanning in 62 ms. Found 9 JPA repository interfaces.
2024-06-27 10:02:48 - Tomcat initialized with port(s): 5001 (http)
2024-06-27 10:02:49 - Adding type registration byte -> org.hibernate.type.BasicTypeReference@3e9b9aec
2024-06-27 10:02:49 - Adding type registration byte -> org.hibernate.type.BasicTypeReference@3e9b9aec
2024-06-27 10:02:49 - Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@3e9b9aec
2024-06-27 10:02:49 - Adding type registration binary -> org.hibernate.type.BasicTypeReference@7d7b95de
2024-06-27 10:02:49 - Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@7d7b95de
2024-06-27 10:02:49 - Adding type registration [B -> org.hibernate.type.BasicTypeReference@7d7b95de
2024-06-27 10:02:49 - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@1f553c67
2024-06-27 10:02:49 - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@1f553c67
2024-06-27 10:02:49 - Adding type registration image -> org.hibernate.type.BasicTypeReference@6c160764
2024-06-27 10:02:49 - Adding type registration blob -> org.hibernate.type.BasicTypeReference@64bbde1f
2024-06-27 10:02:49 - Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@64bbde1f
2024-06-27 10:02:49 - Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@454f7233
2024-06-27 10:02:49 - Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@73cfd8f9
2024-06-27 10:02:49 - Adding type registration short -> org.hibernate.type.BasicTypeReference@2fbeccc3
2024-06-27 10:02:49 - Adding type registration short -> org.hibernate.type.BasicTypeReference@2fbeccc3
2024-06-27 10:02:49 - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@2fbeccc3
2024-06-27 10:02:49 - Adding type registration integer -> org.hibernate.type.BasicTypeReference@15cfb40d
2024-06-27 10:02:49 - Adding type registration int -> org.hibernate.type.BasicTypeReference@15cfb40d
2024-06-27 10:02:49 - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@15cfb40d
2024-06-27 10:02:49 - Adding type registration long -> org.hibernate.type.BasicTypeReference@2baf926d
2024-06-27 10:02:49 - Adding type registration long -> org.hibernate.type.BasicTypeReference@2baf926d
2024-06-27 10:02:49 - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@2baf926d
2024-06-27 10:02:49 - Adding type registration float -> org.hibernate.type.BasicTypeReference@262a8ff1
2024-06-27 10:02:49 - Adding type registration float -> org.hibernate.type.BasicTypeReference@262a8ff1
2024-06-27 10:02:49 - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@262a8ff1
2024-06-27 10:02:49 - Adding type registration double -> org.hibernate.type.BasicTypeReference@7fab9723
2024-06-27 10:02:49 - Adding type registration double -> org.hibernate.type.BasicTypeReference@7fab9723
2024-06-27 10:02:49 - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@7fab9723
2024-06-27 10:02:49 - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@172c3b07
2024-06-27 10:02:49 - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@172c3b07
2024-06-27 10:02:49 - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@4047ff75
2024-06-27 10:02:49 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@4047ff75
2024-06-27 10:02:49 - Adding type registration character -> org.hibernate.type.BasicTypeReference@32e0a58b
2024-06-27 10:02:49 - Adding type registration char -> org.hibernate.type.BasicTypeReference@32e0a58b
2024-06-27 10:02:49 - Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@32e0a58b
2024-06-27 10:02:49 - Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@11512e7b
2024-06-27 10:02:49 - Adding type registration string -> org.hibernate.type.BasicTypeReference@67d3db55
2024-06-27 10:02:49 - Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@67d3db55
2024-06-27 10:02:49 - Adding type registration nstring -> org.hibernate.type.BasicTypeReference@18103c8d
2024-06-27 10:02:49 - Adding type registration characters -> org.hibernate.type.BasicTypeReference@2f6b0ef9
2024-06-27 10:02:49 - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@2f6b0ef9
2024-06-27 10:02:49 - Adding type registration [C -> org.hibernate.type.BasicTypeReference@2f6b0ef9
2024-06-27 10:02:49 - Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@37d1cf99
2024-06-27 10:02:49 - Adding type registration text -> org.hibernate.type.BasicTypeReference@4e21b345
2024-06-27 10:02:49 - Adding type registration ntext -> org.hibernate.type.BasicTypeReference@574c0a58
2024-06-27 10:02:49 - Adding type registration clob -> org.hibernate.type.BasicTypeReference@20a7da8e
2024-06-27 10:02:49 - Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@20a7da8e
2024-06-27 10:02:49 - Adding type registration nclob -> org.hibernate.type.BasicTypeReference@19b36404
2024-06-27 10:02:49 - Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@19b36404
2024-06-27 10:02:49 - Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@5acb47ec
2024-06-27 10:02:49 - Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@6de28827
2024-06-27 10:02:49 - Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@730f4cbf
2024-06-27 10:02:49 - Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@711e959e
2024-06-27 10:02:49 - Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@716a5876
2024-06-27 10:02:49 - Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@83045cc
2024-06-27 10:02:49 - Adding type registration Duration -> org.hibernate.type.BasicTypeReference@1538ac1
2024-06-27 10:02:49 - Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@1538ac1
2024-06-27 10:02:49 - Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@4e44d10
2024-06-27 10:02:49 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@4e44d10
2024-06-27 10:02:49 - Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@276e1c12
2024-06-27 10:02:49 - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@276e1c12
2024-06-27 10:02:49 - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@2d7a3316
2024-06-27 10:02:49 - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@2d7a3316
2024-06-27 10:02:49 - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@3062a1fa
2024-06-27 10:02:49 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@3062a1fa
2024-06-27 10:02:49 - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@1648f62b
2024-06-27 10:02:49 - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@4111f67c
2024-06-27 10:02:49 - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@3d8f8fcb
2024-06-27 10:02:49 - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@3d8f8fcb
2024-06-27 10:02:49 - Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@184784f1
2024-06-27 10:02:49 - Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@49efd07c
2024-06-27 10:02:49 - Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@7036d2b
2024-06-27 10:02:49 - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@46334bd7
2024-06-27 10:02:49 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@46334bd7
2024-06-27 10:02:49 - Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@62773fec
2024-06-27 10:02:49 - Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@552c7fee
2024-06-27 10:02:49 - Adding type registration date -> org.hibernate.type.BasicTypeReference@495a3a55
2024-06-27 10:02:49 - Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@495a3a55
2024-06-27 10:02:49 - Adding type registration time -> org.hibernate.type.BasicTypeReference@156bbd5a
2024-06-27 10:02:49 - Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@156bbd5a
2024-06-27 10:02:49 - Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@4eb87844
2024-06-27 10:02:49 - Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@4eb87844
2024-06-27 10:02:49 - Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@4eb87844
2024-06-27 10:02:49 - Adding type registration calendar -> org.hibernate.type.BasicTypeReference@78ddbd72
2024-06-27 10:02:49 - Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@78ddbd72
2024-06-27 10:02:49 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@78ddbd72
2024-06-27 10:02:49 - Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@604da8ae
2024-06-27 10:02:49 - Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@28044890
2024-06-27 10:02:49 - Adding type registration instant -> org.hibernate.type.BasicTypeReference@25737f8c
2024-06-27 10:02:49 - Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@25737f8c
2024-06-27 10:02:49 - Adding type registration uuid -> org.hibernate.type.BasicTypeReference@30d0707d
2024-06-27 10:02:49 - Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@30d0707d
2024-06-27 10:02:49 - Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@30d0707d
2024-06-27 10:02:49 - Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@3dd5a611
2024-06-27 10:02:49 - Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@371f29f3
2024-06-27 10:02:49 - Adding type registration class -> org.hibernate.type.BasicTypeReference@9aeaf83
2024-06-27 10:02:49 - Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@9aeaf83
2024-06-27 10:02:49 - Adding type registration currency -> org.hibernate.type.BasicTypeReference@3a4e7553
2024-06-27 10:02:49 - Adding type registration Currency -> org.hibernate.type.BasicTypeReference@3a4e7553
2024-06-27 10:02:49 - Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@3a4e7553
2024-06-27 10:02:49 - Adding type registration locale -> org.hibernate.type.BasicTypeReference@2a3bb925
2024-06-27 10:02:49 - Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@2a3bb925
2024-06-27 10:02:49 - Adding type registration serializable -> org.hibernate.type.BasicTypeReference@64254d20
2024-06-27 10:02:49 - Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@64254d20
2024-06-27 10:02:49 - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@180b3490
2024-06-27 10:02:49 - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@180b3490
2024-06-27 10:02:49 - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@51a63e2f
2024-06-27 10:02:49 - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@51a63e2f
2024-06-27 10:02:49 - Adding type registration url -> org.hibernate.type.BasicTypeReference@262357af
2024-06-27 10:02:49 - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@262357af
2024-06-27 10:02:49 - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@68a15206
2024-06-27 10:02:49 - Adding type registration object -> org.hibernate.type.JavaObjectType@64cefad0
2024-06-27 10:02:49 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@64cefad0
2024-06-27 10:02:49 - Adding type registration null -> org.hibernate.type.NullType@2f3d81f6
2024-06-27 10:02:49 - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@7761970a
2024-06-27 10:02:49 - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@41aaa263
2024-06-27 10:02:49 - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@6f640fbb
2024-06-27 10:02:49 - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@2c151190
2024-06-27 10:02:49 - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@57371adf
2024-06-27 10:02:49 - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@431a13e0
2024-06-27 10:02:49 - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@cccc5ef
2024-06-27 10:02:49 - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@851cc77
2024-06-27 10:02:49 - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-27 10:02:49 - HikariPool-1 - Starting...
2024-06-27 10:02:49 - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@15c00a1
2024-06-27 10:02:49 - HikariPool-1 - Start completed.
2024-06-27 10:02:49 - addDescriptor(6, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@3b47068c) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@3c808499)
2024-06-27 10:02:49 - addDescriptor(2004, BlobTypeDescriptor(BLOB_BINDING)) replaced previous registration(BlobTypeDescriptor(DEFAULT))
2024-06-27 10:02:49 - addDescriptor(2005, ClobTypeDescriptor(CLOB_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2024-06-27 10:02:49 - Adding type registration JAVA_OBJECT -> org.hibernate.type.JavaObjectType@608c33d0
2024-06-27 10:02:49 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@608c33d0
2024-06-27 10:02:49 - Type registration key [java.lang.Object] overrode previous entry : `org.hibernate.type.JavaObjectType@64cefad0`
2024-06-27 10:02:49 - Adding type registration Duration -> basicType@1(java.time.Duration,2)
2024-06-27 10:02:49 - Adding type registration java.time.Duration -> basicType@1(java.time.Duration,2)
2024-06-27 10:02:49 - Adding type registration org.hibernate.type.OffsetDateTimeType -> basicType@2(java.time.OffsetDateTime,3003)
2024-06-27 10:02:49 - Adding type registration OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
2024-06-27 10:02:49 - Adding type registration java.time.OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
2024-06-27 10:02:49 - Adding type registration org.hibernate.type.ZonedDateTimeType -> basicType@3(java.time.ZonedDateTime,3003)
2024-06-27 10:02:49 - Adding type registration ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
2024-06-27 10:02:49 - Adding type registration java.time.ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
2024-06-27 10:02:49 - Adding type registration org.hibernate.type.OffsetTimeType -> basicType@4(java.time.OffsetTime,3007)
2024-06-27 10:02:49 - Adding type registration OffsetTime -> basicType@4(java.time.OffsetTime,3007)
2024-06-27 10:02:49 - Adding type registration java.time.OffsetTime -> basicType@4(java.time.OffsetTime,3007)
2024-06-27 10:02:49 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@6c8d8ea1] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@7a81e55f]
2024-06-27 10:02:50 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-27 10:02:50 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@6c8d8ea1] to SessionFactoryImplementor [org.hibernate.internal.SessionFactoryImpl@c4d7955]
2024-06-27 10:02:50 - Handling #sessionFactoryCreated from [org.hibernate.internal.SessionFactoryImpl@c4d7955] for TypeConfiguration
2024-06-27 10:02:50 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-27 10:02:51 - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-06-27 10:02:51 - No authentication manager set. Reauthentication of users when changing passwords will not be performed.
2024-06-27 10:02:52 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1c7d04e8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3d47ca83, org.springframework.security.web.context.SecurityContextHolderFilter@9594f1, org.springframework.security.web.header.HeaderWriterFilter@46a5a069, org.springframework.security.web.csrf.CsrfFilter@7735fe73, org.springframework.security.web.authentication.logout.LogoutFilter@27522125, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5171ecfb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f614546, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@667cfb87, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5e524464, org.springframework.security.web.access.ExceptionTranslationFilter@42c78fe2, org.springframework.security.web.access.intercept.AuthorizationFilter@188f6f20]
2024-06-27 10:02:52 - LiveReload server is running on port 35729
2024-06-27 10:02:52 - Starting ProtocolHandler ["http-nio-5001"]
2024-06-27 10:02:52 - Tomcat started on port(s): 5001 (http) with context path ''
2024-06-27 10:02:52 - Started SpringThymeleafApplication in 5.402 seconds (process running for 6.164)
2024-06-27 10:02:57 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-27 10:02:57 - Initializing Servlet 'dispatcherServlet'
2024-06-27 10:02:57 - Completed initialization in 1 ms
2024-06-27 10:02:57 - select g1_0.id,g1_0.nome from grupos g1_0
2024-06-27 10:03:47 - select g1_0.id,g1_0.nome from grupos g1_0
2024-06-27 10:03:53 - select g1_0.id,g1_0.nome from grupos g1_0 where g1_0.nome=?
2024-06-27 10:03:53 - insert into grupos (nome) values (?)
2024-06-27 10:03:53 - select g1_0.id,g1_0.nome from grupos g1_0
2024-06-27 10:03:57 - select g1_0.id,g1_0.nome from grupos g1_0 where g1_0.id=?
2024-06-27 10:04:01 - select g1_0.id,g1_0.nome from grupos g1_0 where g1_0.nome=?
2024-06-27 10:04:01 - select g1_0.id,g1_0.nome from grupos g1_0 where g1_0.id=?
2024-06-27 10:04:01 - update grupos set nome=? where id=?
2024-06-27 10:04:01 - select g1_0.id,g1_0.nome from grupos g1_0
2024-06-27 10:04:04 - insert into audit_log (entity,entity_id,new_data,old_data,operation,operation_time,username) values (?,?,?,?,?,?,?)
2024-06-27 10:04:04 - LOGG - IF DELETE - Auditoria DELETE registrada para entidade: Grupo com ID: 23
2024-06-27 10:04:04 - select g1_0.id,g1_0.nome from grupos g1_0 where g1_0.id=?
2024-06-27 10:04:04 - select s1_0.grupo_id,s1_0.id,s1_0.nome from subgrupo s1_0 where s1_0.grupo_id=?
2024-06-27 10:04:04 - delete from grupos where id=?
2024-06-27 10:04:04 - select g1_0.id,g1_0.nome from grupos g1_0
2024-06-27 10:04:09 - Application shutdown requested.
2024-06-27 10:04:09 - Pausing ProtocolHandler ["http-nio-5001"]
2024-06-27 10:04:09 - Stopping service [Tomcat]
2024-06-27 10:04:09 - Destroying Spring FrameworkServlet 'dispatcherServlet'
2024-06-27 10:04:09 - Stopping ProtocolHandler ["http-nio-5001"]
2024-06-27 10:04:09 - Destroying ProtocolHandler ["http-nio-5001"]
2024-06-27 10:04:09 - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-27 10:04:09 - Handling #sessionFactoryClosed from [org.hibernate.internal.SessionFactoryImpl@c4d7955] for TypeConfiguration
2024-06-27 10:04:09 - Un-scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration$Scope@795d1537] from SessionFactory [org.hibernate.internal.SessionFactoryImpl@c4d7955]
2024-06-27 10:04:09 - HikariPool-1 - Shutdown initiated...
2024-06-27 10:04:09 - HikariPool-1 - Shutdown completed.
